Nested Sampling Global Log-Evidence           :   -0.952507515737523477E+03  +/-    0.424190024964208101E+00
Nested Importance Sampling Global Log-Evidence:   -0.954862282944671506E+03  +/-    0.929229791913835888E-02

Dim No.       Mean        Sigma
   1    0.625454701608014784E+04    0.315510576936702369E+01
   2    0.647555674829386953E+04    0.139913790209396236E+02
   3   -0.488214578402941152E+04    0.225389824288993772E+02
   4    0.177649765919386118E+04    0.156573633404539514E+02
   5   -0.243740336094889045E+03    0.397171068341103828E+01
   6    0.496061051024232569E+01    0.394295121688493858E-01
   7    0.638327850193887230E+02    0.116684278239719261E+00
   8    0.130912230104039455E+02    0.657999495163100329E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.625545148777065333E+04
   2    0.647136151040338154E+04
   3   -0.487510361340548843E+04
   4    0.177148419079821906E+04
   5   -0.242456195744682191E+03
   6    0.498686065486815000E+01
   7    0.638414175871938951E+02
   8    0.131010947320773763E+02

MAP Parameters
Dim No.        Parameter
   1    0.625545148777065333E+04
   2    0.647136151040338154E+04
   3   -0.487510361340548843E+04
   4    0.177148419079821906E+04
   5   -0.242456195744682191E+03
   6    0.498686065486815000E+01
   7    0.638414175871938951E+02
   8    0.131010947320773763E+02
