    0.624466406345532778E+04    0.652038688999446822E+04   -0.495619901515685160E+04    0.182952671511366316E+04   -0.257648077053951056E+03    0.499863595043053000E+01    0.635368392526423165E+02    0.134098512246867010E+02   -0.895043051772131435E+03
    0.625052812548631482E+04    0.649791536364398416E+04   -0.492561465140441305E+04    0.181075073475748286E+04   -0.253159470719434466E+03    0.450767820633708283E+01    0.641846076545637914E+02    0.128017093388374992E+02   -0.891421590608137876E+03
    0.626039963812536735E+04    0.645045957161262413E+04   -0.484334549954102931E+04    0.175076743905191506E+04   -0.237529500908935006E+03    0.495479358373847933E+01    0.640995812696871070E+02    0.130079078405557880E+02   -0.890618133033112258E+03
    0.625876303787447068E+04    0.645633155356608040E+04   -0.485019937744252366E+04    0.175361450773487559E+04   -0.237763577615265604E+03    0.499273959193837591E+01    0.639328663768423908E+02    0.130235354664294860E+02   -0.890503672402239545E+03
    0.625721041844530191E+04    0.646487564244047826E+04   -0.486703615030910532E+04    0.176770926700916971E+04   -0.241979228486996362E+03    0.499406957090161008E+01    0.639883817970327087E+02    0.131690621185986760E+02   -0.889914031068952113E+03
    0.625059493470616690E+04    0.649483787123475486E+04   -0.491616177541294019E+04    0.180225488302213853E+04   -0.250814928820180285E+03    0.493862185579789870E+01    0.637525319037602713E+02    0.132369316685272960E+02   -0.889760218467510413E+03
    0.624761392875618913E+04    0.650752295192368911E+04   -0.493574852907491368E+04    0.181541560681454939E+04   -0.254076591401404585E+03    0.498336886162525339E+01    0.636061713418427175E+02    0.133349058599529755E+02   -0.889674442391645357E+03
    0.624479236356462934E+04    0.651951469645653924E+04   -0.495387007087589791E+04    0.182657861920465257E+04   -0.256419086330144637E+03    0.485340265818490124E+01    0.635245733751481509E+02    0.131823461399688728E+02   -0.889012795338862475E+03
    0.625959477741608680E+04    0.645383769620267776E+04   -0.484865716217198224E+04    0.175458846363483644E+04   -0.238579561082318833E+03    0.498414172424691682E+01    0.641046304500739694E+02    0.130704096493246951E+02   -0.888992182476726271E+03
    0.624572331937392846E+04    0.651675822387199150E+04   -0.495186682699544053E+04    0.182678170492932986E+04   -0.256837867639067554E+03    0.475928542427602430E+01    0.637342414961271757E+02    0.131096944694982369E+02   -0.888949343822664332E+03
    0.626148740940010612E+04    0.644611886226954448E+04   -0.483678518065002936E+04    0.174589187961610514E+04   -0.236080100975579626E+03    0.480616589567931562E+01    0.641717585578668519E+02    0.128195999238351952E+02   -0.888645291098867460E+03
    0.625873625465992700E+04    0.645717102165892356E+04   -0.485307159128996136E+04    0.175690252469600455E+04   -0.238973135387523143E+03    0.499523047486608363E+01    0.639740136326934916E+02    0.130462043852274245E+02   -0.888598467127490380E+03
    0.625483482993798316E+04    0.647261662950909522E+04   -0.487447370983474229E+04    0.176899903379723401E+04   -0.241273704575452939E+03    0.498630003374116981E+01    0.637591120414702885E+02    0.130065932074107629E+02   -0.888279883075636235E+03
    0.625175458032741335E+04    0.648910731291712000E+04   -0.490589084730495961E+04    0.179417393771407114E+04   -0.248482137209493885E+03    0.488325088700783372E+01    0.638253915539731977E+02    0.130915354732407820E+02   -0.888144206907489661E+03
    0.624558707416524339E+04    0.651718972577037493E+04   -0.495211737394154898E+04    0.182643595166097839E+04   -0.256571761997163776E+03    0.472788283621948313E+01    0.636946838263422848E+02    0.130776962632147367E+02   -0.888035553472070433E+03
    0.625940992075121358E+04    0.645390854614811542E+04   -0.484715355117064337E+04    0.175202036577606304E+04   -0.237470761333735936E+03    0.493478938761906960E+01    0.640191894324750734E+02    0.129839334794225092E+02   -0.887834119589282068E+03
    0.626216945865304115E+04    0.644289411345518238E+04   -0.483130677025632485E+04    0.174196649462294590E+04   -0.235066604524270588E+03    0.482644576579019624E+01    0.641908005971876037E+02    0.128533623371784991E+02   -0.887819129000158682E+03
    0.625446118225022474E+04    0.647708807586122930E+04   -0.488648591559040324E+04    0.178057308245401146E+04   -0.244972195279315201E+03    0.486851099524206798E+01    0.639092967725891725E+02    0.130653540998210005E+02   -0.887774060405972023E+03
    0.625163559424778396E+04    0.648914480342922616E+04   -0.490507992812040175E+04    0.179313727900399135E+04   -0.248135384789991804E+03    0.495291724633854447E+01    0.637061656893571708E+02    0.131718307484578734E+02   -0.887541626045236399E+03
    0.624956521664120555E+04    0.649808874152201315E+04   -0.491892054314689085E+04    0.180215819931018450E+04   -0.250225810166253723E+03    0.491765583789011895E+01    0.636307063572238576E+02    0.131967923437006984E+02   -0.887524437568158078E+03
