    0.850778998686951127E+01   -0.236689232728303978E+01    0.172647540548496181E-01   -0.106074324130827335E+01   -0.228236459623349219E+01    0.836753200768384886E+01   -0.224157911594511461E+01    0.192827632625721890E+00   -0.176620578046026822E+01   -0.456347032695839516E+01    0.443421995098933042E+00    0.876177967355610221E+01    0.189363926859686522E+02   -0.150547122384980440E+10
    0.850778998691339439E+01   -0.236689232563139740E+01    0.172647546885400516E-01   -0.106074323487064248E+01   -0.228236455422575091E+01    0.836753200778025530E+01   -0.224157911665565734E+01    0.192827632571606955E+00   -0.176620577749213226E+01   -0.456347032170651801E+01    0.443422038379387318E+00    0.876177986256561425E+01    0.189363926540756538E+02   -0.150547122324856949E+10
    0.850778998699433942E+01   -0.236689232648041070E+01    0.172647551269164978E-01   -0.106074323644384094E+01   -0.228236458101787321E+01    0.836753200773682693E+01   -0.224157911561269430E+01    0.192827632748276301E+00   -0.176620578147685592E+01   -0.456347032797111751E+01    0.443421999798562227E+00    0.876177989915312239E+01    0.189363926872539459E+02   -0.150547122260513091E+10
    0.850778998681494159E+01   -0.236689232801745675E+01    0.172647526071614266E-01   -0.106074323869438558E+01   -0.228236458776564177E+01    0.836753200770294825E+01   -0.224157911639463236E+01    0.192827632357420953E+00   -0.176620577852554561E+01   -0.456347032114763351E+01    0.443421961074487059E+00    0.876178008661453589E+01    0.189363926594050191E+02   -0.150547122212902355E+10
    0.850778998696910094E+01   -0.236689232654907755E+01    0.172647543661241798E-01   -0.106074323169855234E+01   -0.228236456524723508E+01    0.836753200783391549E+01   -0.224157911680208599E+01    0.192827632424950934E+00   -0.176620577449011762E+01   -0.456347032649500761E+01    0.443421958969675845E+00    0.876178033360737274E+01    0.189363926606912898E+02   -0.150547122192791390E+10
    0.850778998703026446E+01   -0.236689232664525662E+01    0.172647556460105989E-01   -0.106074322801941889E+01   -0.228236452752548757E+01    0.836753200776024642E+01   -0.224157911696283918E+01    0.192827632548869587E+00   -0.176620577519997823E+01   -0.456347031826589955E+01    0.443422060004420193E+00    0.876178053634013310E+01    0.189363925810309546E+02   -0.150547122159915566E+10
    0.850778998686860177E+01   -0.236689232797016302E+01    0.172647538670389622E-01   -0.106074324192513814E+01   -0.228236461730830342E+01    0.836753200763428140E+01   -0.224157911553197664E+01    0.192827632203943722E+00   -0.176620577949552171E+01   -0.456347032964276877E+01    0.443422005724138701E+00    0.876177953519407993E+01    0.189363927201982527E+02   -0.150547122159727907E+10
    0.850778998681403209E+01   -0.236689232759658807E+01    0.172647528374909598E-01   -0.106074323588882180E+01   -0.228236456854028802E+01    0.836753200772704986E+01   -0.224157911685119871E+01    0.192827632659145820E+00   -0.176620577834592041E+01   -0.456347032156691057E+01    0.443421980742977950E+00    0.876178016452704611E+01    0.189363926646324003E+02   -0.150547122096997786E+10
    0.850778998740997849E+01   -0.236689232039907438E+01    0.172647820288602816E-01   -0.106074313220051408E+01   -0.228236447492827210E+01    0.836753200784778528E+01   -0.224157910559870288E+01    0.192827634172545004E+00   -0.176620577265430256E+01   -0.456347024416390923E+01    0.443422458013036036E+00    0.876178589421212806E+01    0.189363918884042519E+02   -0.150547122084200096E+10
    0.850778998692271671E+01   -0.236689232682829243E+01    0.172647547994984052E-01   -0.106074323699499473E+01   -0.228236458943888465E+01    0.836753200778161954E+01   -0.224157911667725784E+01    0.192827632330363485E+00   -0.176620577549147129E+01   -0.456347032882877102E+01    0.443421982942853232E+00    0.876177985920686098E+01    0.189363926908332516E+02   -0.150547122072090387E+10
    0.850778998681926169E+01   -0.236689232747835376E+01    0.172647539318404597E-01   -0.106074323935899884E+01   -0.228236459309800921E+01    0.836753200775274308E+01   -0.224157911657675868E+01    0.192827632087983147E+00   -0.176620577893640984E+01   -0.456347032019107246E+01    0.443422019684031166E+00    0.876177981069996648E+01    0.189363925919825533E+02   -0.150547122065403962E+10
