    0.208170447835941195E+04   -0.105632650231553816E+04    0.150401723397976184E+04   -0.104212392051660208E+04    0.264493493802794546E+03    0.156193021632893236E+01    0.768172906516225282E+02    0.200259355898417368E+02    0.277760150212786039E+01    0.176357517524951504E+03
    0.206239737536734901E+04   -0.975696181085933404E+03    0.138046704705350930E+04   -0.959960136381358097E+03    0.244524943888781308E+03    0.152503349342101635E+01    0.770689315406466307E+02    0.202286041339802694E+02    0.243743476527661551E+01    0.182622591925334717E+03
    0.195683673069797624E+04   -0.523057047956273891E+03    0.669439138948539949E+03   -0.475367412574621994E+03    0.123351419619186345E+03    0.102561160005158558E+01    0.782966570193935638E+02    0.199595611117925529E+02    0.269192382911936745E+01    0.182787867640349560E+03
    0.205406507134351250E+04   -0.948739915821236536E+03    0.135432020527627901E+04   -0.954814059453894970E+03    0.246712337127324645E+03    0.132744816758520967E+01    0.764331465365006437E+02    0.204259695390385758E+02    0.182201279124560411E+01    0.182896641284902216E+03
    0.198063590974482486E+04   -0.605498425747402507E+03    0.762469749775818855E+03   -0.509952869958882729E+03    0.124136088405158262E+03    0.168331607962530772E+01    0.790840181236435740E+02    0.212534088559145609E+02    0.185877413789554957E+01    0.183319914696145560E+03
    0.203027801595798701E+04   -0.838024258641964479E+03    0.116731965674860476E+04   -0.818944195221532937E+03    0.210718635494009504E+03    0.108324380172149093E+01    0.775560606664561618E+02    0.200648657422250594E+02    0.429855787476638085E+01    0.183361542076507988E+03
    0.197433811490405060E+04   -0.599394264876281341E+03    0.794232956137891051E+03   -0.565775109963115028E+03    0.147696738825101420E+03    0.906244655588211101E+00    0.779982178240657760E+02    0.191736206849634385E+02    0.463545249790370484E+01    0.183416739651505850E+03
    0.196186828503159359E+04   -0.552567896298183769E+03    0.732916455202869656E+03   -0.533936213499032419E+03    0.142593765077805074E+03    0.699143290772258896E+00    0.786059074330934209E+02    0.176541711594459798E+02    0.530253389425184540E+01    0.183427185365237079E+03
    0.198151723850793587E+04   -0.628758602060640442E+03    0.836796035485866923E+03   -0.591400375214233463E+03    0.153039826837558394E+03    0.990236163303031658E+00    0.781619676112673716E+02    0.188024067831613699E+02    0.503050761393377233E+01    0.183736714588018941E+03
    0.199022777040754409E+04   -0.658171125337769809E+03    0.868172633974157179E+03   -0.601150091876816077E+03    0.152389376264310158E+03    0.134315475249544125E+01    0.787053451627674576E+02    0.198859641780829364E+02    0.140300148939986435E+01    0.183849050284781839E+03
    0.199190562219594267E+04   -0.677974017166819067E+03    0.922702109310033848E+03   -0.656782061885988696E+03    0.171281911838815176E+03    0.900695748235691207E+00    0.774793151827371389E+02    0.192808499042484733E+02    0.487570505621052774E+01    0.184239817474493719E+03
    0.199956383454843672E+04   -0.699216155752718805E+03    0.933946563400791092E+03   -0.646450284449540959E+03    0.163666518921830175E+03    0.129715519508830779E+01    0.781445672624943484E+02    0.210517796601487639E+02    0.343079016382468094E+01    0.184304301545719994E+03
    0.201740266833870464E+04   -0.778539789022088371E+03    0.106519985082339645E+04   -0.742300553883979774E+03    0.189654176160508541E+03    0.125742360202549008E+01    0.781717580229766611E+02    0.197863015277286713E+02    0.203589355153421847E+01    0.184424073835795639E+03
    0.206926498886605896E+04   -0.999643058426800053E+03    0.140716113735766157E+04   -0.968693380679525944E+03    0.243967678645695742E+03    0.188630444872597947E+01    0.770288659949904684E+02    0.215408854625377018E+02    0.109726576947422405E+01    0.184466171508430449E+03
    0.199409725905462437E+04   -0.658572361142510999E+03    0.836170332271861298E+03   -0.551904231671212074E+03    0.132309848521329513E+03    0.199082884401535254E+01    0.790483524233860209E+02    0.222485563825155843E+02    0.167039082075277401E+01    0.184524694350838075E+03
    0.198295577300464720E+04   -0.622898765085658852E+03    0.803088746862545122E+03   -0.547957448012364694E+03    0.136433073954102838E+03    0.149116781583939595E+01    0.787554052067206527E+02    0.206267676321462261E+02    0.256152605640047160E+01    0.184570857315663460E+03
    0.200993170362135152E+04   -0.747937003590685890E+03    0.101624647655494482E+04   -0.705977898775000540E+03    0.179363732667260592E+03    0.147651613198029885E+01    0.779794970977400226E+02    0.207977551453301324E+02    0.169026746637109415E+01    0.184606517460318656E+03
    0.198441635907882028E+04   -0.643619432500634503E+03    0.865308334666826340E+03   -0.615577023928480230E+03    0.160560051775742068E+03    0.885718410010299495E+00    0.783183545308709199E+02    0.184207584418814854E+02    0.673932453824196642E+01    0.184677752893309588E+03
    0.195652877812598308E+04   -0.503630273139590827E+03    0.604361977723120617E+03   -0.403163350039623765E+03    0.976330321694858867E+02    0.165151128590331853E+01    0.791458841481824038E+02    0.217138214521536383E+02    0.212643100058393397E+01    0.184697696693790959E+03
    0.197222191160284092E+04   -0.591511214745686630E+03    0.781969755877952593E+03   -0.556485614441694452E+03    0.144992130933813314E+03    0.100194316775974190E+01    0.787385824522338709E+02    0.199236088642424676E+02    0.351857637172983129E+01    0.184773333382824404E+03
    0.196799364413693274E+04   -0.558082334819787320E+03    0.700700438833468070E+03   -0.478072913689778034E+03    0.118992502095147756E+03    0.144805233511854969E+01    0.790334957849846376E+02    0.200119045764256853E+02    0.214220343417556647E+01    0.184777857445437206E+03
    0.201896374863169331E+04   -0.798532254343568638E+03    0.112192399784927693E+04   -0.801278281954536396E+03    0.210027920336758143E+03    0.904486937492055665E+00    0.772771668280100670E+02    0.179406955339509153E+02    0.244236703180996262E+01    0.184856338897037404E+03
    0.194352730795015395E+04   -0.473731981369847745E+03    0.606148043192279147E+03   -0.443607938234482390E+03    0.118609405493810300E+03    0.749396831946272712E+00    0.784253212339925767E+02    0.192498007345994715E+02    0.588438352783517082E+01    0.184884112064453831E+03
